process,order,label,method,phase,iteration,seconds,count,hash
0,AC,g1_p00_a1,C,repeat16,12,0.16283211699919775,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,C,repeat16,13,0.16265199500048766,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,C,repeat16,14,0.1628871579960105,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,C,repeat16,15,0.1631576150030014,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,0,0.15044611399935093,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,1,0.1490187200033688,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,2,0.14979862299514934,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,3,0.14973548499983735,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,4,0.1499128080031369,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,5,0.1496680979980738,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,6,0.15156222299992805,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,7,0.15102989599836292,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,8,0.15081146200100193,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,9,0.15044754200062016,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,10,0.15087146400037454,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,11,0.15097474199865246,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,12,0.150766057005967,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,13,0.15126375899853883,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,14,0.15113379799731774,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,AC,g1_p00_a1,A,repeat16,15,0.1503038600058062,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,warmup,0,0.867771596997045,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,warmup,1,0.19506582699978026,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,0,0.19522895800037077,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,1,0.19757581000158098,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,2,0.19416341099713463,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,3,0.19497000700357603,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,4,0.19482835899543716,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,5,0.19594509500166168,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,6,0.17937507999886293,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,7,0.16525267500401242,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,C,retained,8,0.16387945699534612,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,warmup,0,0.1653634729955229,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,warmup,1,0.15159887800109573,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,0,0.15312980100134155,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,1,0.1515535020007519,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,2,0.15153709999867715,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,3,0.15134048800246092,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,4,0.15111892199638532,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,5,0.15107346899458207,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,6,0.1502711110006203,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,7,0.15180917100224178,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,retained,8,0.1518154420045903,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,0,0.15127109899913194,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,1,0.15037469499657163,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,2,0.1518452289965353,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,3,0.15038692200323567,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,4,0.15158863099350128,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,5,0.15025831200182438,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,6,0.15167318699968746,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,7,0.15076637499441858,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
1,CA,g1_p01_a1,A,repeat16,8,0.15165593999699922,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
