block,cell,mean_degree,seconds_F8,seconds_F16,ratio,ci_low,ci_high
explore,k4,3.9553,0.05388966000464279,0.059180914497119375,1.098186822704406,1.086305891143962,1.1303909805400054
explore,k16,15.947633333333334,0.07014647449250333,0.07476248750754166,1.0658053458628438,1.0579246285303634,1.0673304420362226
explore,k64,63.3833,0.15588248849962838,0.1581206530026975,1.0143580239487546,1.0103556449853353,1.021858716578979
explore,original,64.43463333333334,0.1586888105084654,0.1613187524926616,1.0165729516515338,1.0000437540484903,1.0196164385069497
explore,k256,256.1571333333333,0.5649509130089427,0.5610718824973446,0.9931338627440421,0.9913418820382078,0.9966862341960937
explore,k1024,1023.3134333333334,2.3219571429945063,2.2900524510041578,0.9862595689646525,0.9851656498123096,0.9882406645995147
primary,k4,3.9553,0.05402287099908184,0.058854306832169336,1.08943315569381,1.0838525485253807,1.093348751705632
primary,k16,15.947633333333334,0.07013740200151612,0.0747041153323759,1.0651109565016548,1.062735668028608,1.0662404307014357
primary,k64,63.3833,0.15570429332971494,0.15822219866580176,1.0161710719867882,1.011748742217473,1.0193597422518152
primary,original,64.43463333333334,0.15811721316761881,0.16036334850165682,1.0142055079838581,1.0105497609668417,1.0166975378974128
primary,k256,256.1571333333333,0.5645636426682662,0.5604158161683396,0.9926530400003745,0.9900731560626833,0.995142444903437
primary,k1024,1023.3134333333334,2.3199391024997262,2.286748271828401,0.9856932319320096,0.984885171169941,0.9866685291810229
repeat,k4,3.9553,0.05352755833640307,0.058304027831278894,1.0892338384810547,1.0519009363295713,1.090698775232594
repeat,k16,15.947633333333334,0.07015601000117992,0.07464171700363902,1.0639390267830746,1.038630280349992,1.066845113927658
repeat,k64,63.3833,0.15305342483285736,0.15530356633098563,1.0147016736187744,1.0092186225969741,1.0195603183830622
repeat,original,64.43463333333334,0.1558960903348634,0.1583819864996864,1.015945853160803,1.012904361685092,1.0186467395861607
repeat,k256,256.1571333333333,0.5531876856718251,0.549009184166304,0.9924465030336919,0.9857386900295635,0.9988092244589712
repeat,k1024,1023.3134333333334,2.3228345121703264,2.292147711836151,0.9867890716392432,0.9852405842495172,0.9905266214773754
pooled,k4,3.9553,0.05377521466774245,0.058579167331724115,1.0893339560550999,1.0695906359077212,1.0913726052937487
pooled,k16,15.947633333333334,0.07014670600134802,0.07467291616800746,1.0645249139221513,1.051503239089729,1.0660044620381623
pooled,k64,63.3833,0.15437885908128615,0.15676288249839368,1.015442680631888,1.0120897383413068,1.0184651908594629
pooled,original,64.43463333333334,0.1570066517512411,0.1593726675006716,1.0150695255458297,1.0125943723224706,1.0170044597190042
pooled,k256,256.1571333333333,0.5588756641700456,0.5547125001673218,0.9925508225359815,0.9888948479306396,0.99587159272645
pooled,k1024,1023.3134333333334,2.3213868073350263,2.289447991832276,0.9862414934892232,0.9853357373943551,0.9882897073478162
