block,process,cell,method,phase,iteration,position,seconds,output_sha256
explore,0,k256,F16,retained,2,1,0.5605898790090578,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k1024,F16,warmup,0,0,2.2975872560054995,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F8,warmup,0,1,2.3182751720014494,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F16,retained,0,0,2.2887505310063716,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F8,retained,0,1,2.321489580994239,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F8,retained,1,0,2.315268582009594,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F16,retained,1,1,2.282309357993654,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F16,retained,2,0,2.295676243986236,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F8,retained,2,1,2.3239588840078795,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k4,F16,warmup,0,0,0.5072246079944307,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F8,warmup,0,1,0.06806394099839963,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F16,retained,0,0,0.06347758098854683,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F8,retained,0,1,0.05487888598872814,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F8,retained,1,0,0.05406919401139021,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F16,retained,1,1,0.0596763459907379,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F16,retained,2,0,0.05872910699690692,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k4,F8,retained,2,1,0.0539695089973975,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,1,k1024,F8,warmup,0,0,2.3414061660005245,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F16,warmup,0,1,2.2966035900026327,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F8,retained,0,0,2.326125902996864,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F16,retained,0,1,2.291354371001944,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F16,retained,1,0,2.296068961994024,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F8,retained,1,1,2.3224247049947735,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F8,retained,2,0,2.321201896003913,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k1024,F16,retained,2,1,2.287033339991467,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,1,k256,F16,warmup,0,0,0.5587447959987912,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F8,warmup,0,1,0.5662520480109379,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F16,retained,0,0,0.5636920930119231,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F8,retained,0,1,0.5640970920067048,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F8,retained,1,0,0.5659789520141203,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F16,retained,1,1,0.5611108510056511,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F16,retained,2,0,0.5620991229952779,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,1,k256,F8,retained,2,1,0.567040841007838,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
