method,cell,build_seconds,query_seconds,seconds
sequential,original,0.6926675639988389,0.057012856006622314,0.7496804200054612
pipeline,original,0.6953812519932399,0.0628470680094324,0.7582283200026723
draft_serial,original,0.6950839039927814,0.059111107999342494,0.7541950119921239
speculative,original,0.6881320779939415,0.07092872299836017,0.7590608009923017
