cell,original_full_ms,project64_ms,packed16_ms,sequential_ms,pipeline_ms,draft_serial_ms,speculative_ms,spec_speedup_vs_sequential,spec_speedup_vs_sequential_min,spec_speedup_vs_sequential_max,spec_speedup_vs_pipeline,spec_speedup_vs_pipeline_min,spec_speedup_vs_pipeline_max,spec_speedup_vs_draft_serial,spec_speedup_vs_draft_serial_min,spec_speedup_vs_draft_serial_max,spec_speedup_vs_packed16,spec_speedup_vs_packed16_min,spec_speedup_vs_packed16_max
k4,53.89448366865205,38.40062133046255,30.476257500898402,46.357072664250154,52.644591004839945,48.23123066550276,54.561538665439,0.8496291306684536,0.8349313899433212,0.8574668197867645,0.9648663196184144,0.9418916573291242,0.9827867470567256,0.8839785652169289,0.868194182755403,0.8944166381290712,0.5585666798690013,0.5444149778989413,0.5816005295111092
k16,56.04149116697954,44.78246533350708,36.868544836276364,51.08372783433879,57.74565283112073,53.52651416857649,59.03551050384218,0.8653050917720806,0.8594455969105838,0.8721547962562609,0.9781511557753446,0.9692014454067894,0.9913534701804423,0.9066833455279911,0.8887028210702806,0.9221597281180137,0.6245147119355707,0.6168807898398504,0.6301700054021736
k64,59.14848232835842,52.168672664265614,48.193560668247905,56.867809335623555,63.57019366987515,58.31730716939395,71.01627366500907,0.8007715189883766,0.7638050105505871,0.8362641481124241,0.895149666254557,0.842014419021197,0.9510304084854494,0.821182303150438,0.7855612901652277,0.8651937059555661,0.6786269988704532,0.6470916685889756,0.7118852665859382
original,66.28573566801303,66.7718056696079,64.22124266828177,71.85196733189514,78.88861183649472,72.97072383516934,78.82076449944482,0.9115867853882746,0.8992055698478592,0.9237887492945276,1.0008607799921856,0.970669571352808,1.0476414414544661,0.9257804627825363,0.9223252439206046,0.9297469438838429,0.8147756885653414,0.7990301893127917,0.8435909972210043
k256,135.31788016553037,125.87481766725735,124.224735001917,128.36701450335872,135.6658898293972,130.4285221679796,138.85514666859913,0.9244670981460119,0.9118164902642848,0.9415085778429083,0.9770317707645823,0.957352581548415,0.9927972704120852,0.9393135601899505,0.9288277157051693,0.957771898640205,0.8946354383132802,0.8859764283926241,0.9055844373068171
k1024,346.9571801688289,348.5319713314918,346.4146848321737,347.2991613380145,356.8829569994705,349.3606568299583,355.8696788386442,0.9759166964474216,0.9730505873320386,0.9784339308146724,1.0028473292923776,0.9986554821837783,1.0057870805241427,0.981709534709651,0.977762494011258,0.987670219756034,0.973431302050441,0.9695043937034247,0.9767504124178819
