cell,method,process,repetition,query_seconds,output_count,output_sha256,peak_allocated_bytes,peak_reserved_bytes,output_finalize_seconds,batches
k4,original_full,0,0,0.058906545003992505,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,608008192,614465536,0.0010465490049682558,108
k4,original_full,0,1,0.05354883600375615,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,608008192,614465536,0.0006918530125403777,108
k4,original_full,0,2,0.05746086900762748,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,608008192,614465536,0.0010412839910713956,108
k4,original_full,0,3,0.05246548700961284,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,608008192,614465536,0.0006985930085647851,108
k4,project64,0,0,0.039227964996825904,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,607260160,616562688,0.0005705829971702769,51
k4,project64,0,1,0.03757474799931515,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,607260160,616562688,0.0005546379979932681,51
k4,project64,0,2,0.03854531799152028,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,607260160,616562688,0.0005745539965573698,51
k4,project64,0,3,0.03741945400543045,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,607260160,616562688,0.0005510560004040599,51
k4,packed16,0,0,0.029747364009381272,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,661790720,675282944,0.0005165170005057007,16
k4,packed16,0,1,0.0293369759892812,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,661790720,675282944,0.0005193060060264543,16
k4,packed16,0,2,0.02947621799830813,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,661790720,675282944,0.0005289130058372393,16
k4,packed16,0,3,0.02912739598832559,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,661790720,675282944,0.0005160680011613294,16
k4,sequential,0,0,0.04866333100653719,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0024160869943443686,108
k4,sequential,0,1,0.045740050001768395,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008147869957610965,108
k4,sequential,0,2,0.04589686599501874,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008043319976422936,108
k4,sequential,0,3,0.04566761199384928,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.000804494004114531,108
k4,pipeline,0,0,0.05315565400815103,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008311720011988655,108
k4,pipeline,0,1,0.05178403799072839,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008340320055140182,108
k4,pipeline,0,2,0.05191579699749127,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008101190032903105,108
k4,pipeline,0,3,0.055242073998670094,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008080729894572869,108
k4,draft_serial,0,0,0.04787381300411653,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008147670014295727,108
k4,draft_serial,0,1,0.047736880005686544,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008192740060621873,108
k4,draft_serial,0,2,0.047749835008289665,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008023590053198859,108
k4,draft_serial,0,3,0.05040175600151997,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008275589934783056,108
k4,speculative,0,0,0.053578278006170876,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008265399956144392,108
k4,speculative,0,1,0.05334197499905713,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008197700080927461,108
k4,speculative,0,2,0.05345314199803397,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.0008162440062733367,108
k4,speculative,0,3,0.053458608002983965,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,617307648,641728512,0.000837767991470173,108
k16,original_full,0,0,0.05729642500227783,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625402880,637534208,0.0030897419928805903,108
k16,original_full,0,1,0.0626714819954941,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625402880,637534208,0.001463644002797082,108
k16,original_full,0,2,0.05633932699856814,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625402880,637534208,0.0030734780011698604,108
k16,original_full,0,3,0.05553638399578631,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625402880,637534208,0.001429323005140759,108
k16,project64,0,0,0.044420655991416425,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625788928,656408576,0.0014945760049158707,67
k16,project64,0,1,0.046907950003515,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625788928,656408576,0.002835560997482389,67
k16,project64,0,2,0.04580993500712793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625788928,656408576,0.002185745004680939,67
