config_id,parent_id,split,N,k,T_hex,label,int8_ms,e3m4_ms,fp16_ms,O2_ms,O3_ms,int8_FP32,e3m4_FP32,fp16_FP32,output_count
logrange_201_n1024_k128,logrange_201,validation,1024,128,0x1.09abcead7e498p+6,tie,3.3319934107854516,3.3138098665734113,3.2737919887999722,3.3138098665734113,3.2737919887999722,40805,58395,1229,130216
logrange_201_n4096_k8,logrange_201,validation,4096,8,0x1.bfe0eaf477352p+5,tie,3.7702599771571825,3.7368338190280825,3.8246344130495653,3.7368338190280825,3.7368338190280825,18319,25746,506,31468
logrange_201_n4096_k128,logrange_201,validation,4096,128,0x1.f0f9398a32d77p+5,tie,11.464177645351118,11.602762164683716,11.098005900654679,11.464177645351118,11.098005900654679,226239,321218,6259,504098
mixed_101_n1024_k8,mixed_101,train,1024,8,0x1.9448036bc8722p-4,tie,1.5288021462381296,1.5198920348610825,1.5212031679209854,1.5198920348610825,1.5198920348610825,10806,10839,434,10142
mixed_101_n1024_k128,mixed_101,train,1024,128,0x1.8fc2a40644404p-3,tie,3.5134619110836733,3.455295661722218,3.2963882460534846,3.455295661722218,3.2963882460534846,138627,100498,3030,132504
mixed_101_n4096_k8,mixed_101,train,4096,8,0x1.7c4a35d7704e6p-4,tie,4.069941906106873,3.9945966901620373,3.9699286174616715,3.9945966901620373,3.9699286174616715,147614,105296,2779,38340
mixed_101_n4096_k128,mixed_101,train,4096,128,0x1.606cfd6307b84p-3,e3m4,14.634710930405221,12.094361299788877,11.846921130846754,12.094361299788877,11.846921130846754,1967540,223552,1634,543936
mixed_102_n1024_k8,mixed_102,train,1024,8,0x1.914476f8cfd1ep-4,tie,1.5363265285745595,1.5243814611878534,1.5386063737717444,1.5243814611878534,1.5243814611878534,11354,10726,449,9174
mixed_102_n1024_k128,mixed_102,train,1024,128,0x1.8c73f0c9a35dcp-3,tie,3.4512709987712253,3.3731828952650704,3.244589074026765,3.3731828952650704,3.244589074026765,149452,110119,3053,131122
mixed_102_n4096_k8,mixed_102,train,4096,8,0x1.7e4335aa22886p-4,tie,4.1649391996496234,4.0699702975245975,4.061434188834746,4.0699702975245975,4.061434188834746,149665,110249,3469,45538
mixed_102_n4096_k128,mixed_102,train,4096,128,0x1.532b267d94542p-3,e3m4,14.45965849151967,11.736302569521612,11.506478184510371,11.736302569521612,11.506478184510371,1966671,230847,339,528558
mixed_103_n1024_k8,mixed_103,train,1024,8,0x1.929998ddb889ap-4,tie,1.5130399336322764,1.492800527346972,1.494135542396871,1.492800527346972,1.492800527346972,10615,10621,409,9708
mixed_103_n1024_k128,mixed_103,train,1024,128,0x1.8ff6b603586dep-3,tie,3.4863743210171303,3.388519454610885,3.272488474246018,3.388519454610885,3.272488474246018,141263,97297,2655,132466
mixed_103_n4096_k8,mixed_103,train,4096,8,0x1.7a6cd9e57e64ap-4,e3m4,4.134268331487236,3.9524533993031716,3.993170089550276,3.9524533993031716,3.9524533993031716,145642,96704,2371,34012
mixed_103_n4096_k128,mixed_103,train,4096,128,0x1.f328cde173235p-4,tie,11.900961596419556,11.606381374254935,11.494832400757103,11.606381374254935,11.494832400757103,215730,74347,113,523332
mixed_201_n1024_k8,mixed_201,validation,1024,8,0x1.90cd89aa9197ep-4,tie,1.5230206165329674,1.5043720445490645,1.5079414969303682,1.5043720445490645,1.5043720445490645,10760,10639,431,8862
mixed_201_n1024_k128,mixed_201,validation,1024,128,0x1.8c7c7f4aa88acp-3,tie,3.4923082697715246,3.4415530391210414,3.28299983708395,3.4415530391210414,3.28299983708395,147066,113666,3045,131248
mixed_201_n4096_k8,mixed_201,validation,4096,8,0x1.7ac5012fc0826p-4,e3m4,4.040300505816132,3.8788548213172485,3.8955933487336867,3.8788548213172485,3.8788548213172485,145891,109782,2640,35566
mixed_201_n4096_k128,mixed_201,validation,4096,128,0x1.55fa087da6a66p-3,e3m4,14.319113524518281,11.82207486165401,11.499954559764774,11.82207486165401,11.499954559764774,1964202,205621,489,530714
