target_results_per_query,lower_distance_d2,upper_distance_d2,gap_d2,threshold_d2,exact_pairs,exact_results_per_query,direct_accept_pairs,direct_reject_pairs,ambiguous_pairs,ambiguous_fraction,ambiguous_to_output,lower_containment_violations,upper_containment_violations,false_accept_pairs,false_reject_pairs,final_classification_mismatch
1,0.1294342525972209,0.12946781603263446,3.356343541355278e-05,0.1294510343149277,512,1.0,325,2096361,466,0.00022220611572265625,0.91015625,0,0,0,0,0
64,0.26291302118419035,0.262913631794012,6.106098216496214e-07,0.26291332648910115,32768,64.0,27371,2058216,11565,0.005514621734619141,0.352935791015625,0,0,0,0,0
