COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "-u", "src/runner.py", "--index", "4"]
{"layout": "original", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.2804359880028642, "inner_seconds": 0.1926607060013339}
{"layout": "original", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.2472203069992247, "inner_seconds": 0.16182893099903595}
{"layout": "original", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24158729900227627, "inner_seconds": 0.15626382500340696}
{"layout": "original", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24215978799475124, "inner_seconds": 0.1575009649968706}
{"layout": "original", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24475498700485332, "inner_seconds": 0.1575490860050195}
{"layout": "original", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24046574900421547, "inner_seconds": 0.15571685799659463}
{"layout": "original", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.23955992300034268, "inner_seconds": 0.1551212759950431}
{"layout": "original", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24007037800038233, "inner_seconds": 0.15536896699632052}
{"layout": "original", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.24094103399693267, "inner_seconds": 0.1558107029995881}
{"layout": "original", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.6753049769977224, "inner_seconds": 0.5906429149981705}
{"layout": "original", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.24725598200166132, "inner_seconds": 0.16230486299900804}
{"layout": "original", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.24471448399708606, "inner_seconds": 0.1601836469999398}
{"layout": "original", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.24310523200256284, "inner_seconds": 0.1585261470027035}
{"layout": "original", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.24348706899763783, "inner_seconds": 0.15871718599373708}
{"layout": "original", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.24414014899957692, "inner_seconds": 0.15958206499635708}
{"layout": "original", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.24900111799797742, "inner_seconds": 0.16390578699792968}
{"layout": "original", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.24517537799692946, "inner_seconds": 0.1606113119996735}
{"layout": "original", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.24391611999453744, "inner_seconds": 0.15898478100280045}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.24482889300270472, "inner_seconds": 0.15952833600022132}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.24505253000097582, "inner_seconds": 0.15835099900141358}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24631940099789063, "inner_seconds": 0.1611498079946614}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24722702599683544, "inner_seconds": 0.16126773400173988}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24620521099859616, "inner_seconds": 0.16102597500139382}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24695690200314857, "inner_seconds": 0.1617384490018594}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.24627043400687398, "inner_seconds": 0.16084868599864421}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24893179700302426, "inner_seconds": 0.1633258450019639}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.2493243569988408, "inner_seconds": 0.16426143400167348}
{"layout": "interleaved", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.24933569400309352, "inner_seconds": 0.16407374999835156}
{"layout": "interleaved", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.24955145599960815, "inner_seconds": 0.16377182999713114}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.24942169100540923, "inner_seconds": 0.1640310440052417}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.2491091999982018, "inner_seconds": 0.16399118199478835}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.2506258549983613, "inner_seconds": 0.16526644500117982}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.24890770499769133, "inner_seconds": 0.1638423319964204}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.24934064200351713, "inner_seconds": 0.16400124299980234}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.24891976000071736, "inner_seconds": 0.16379934900032822}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.2493275199958589, "inner_seconds": 0.16415835600491846}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.24576477200025693, "inner_seconds": 0.16044938399863895}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.24452084500080673, "inner_seconds": 0.15935095000168076}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24277396999968914, "inner_seconds": 0.15800104499794543}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24299013199924957, "inner_seconds": 0.15814014499483164}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.2428199370042421, "inner_seconds": 0.1579185980008333}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24309618999541271, "inner_seconds": 0.15826099600235466}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.24314432500250405, "inner_seconds": 0.15812141600326868}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24329467400093563, "inner_seconds": 0.15857869799947366}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.24681065200275043, "inner_seconds": 0.16151890600303886}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.2483076770004118, "inner_seconds": 0.16290046100039035}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.24681330200110096, "inner_seconds": 0.16184643599990522}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.24814458200125955, "inner_seconds": 0.1628351230028784}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.24694501899648458, "inner_seconds": 0.16196115699858638}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.2480591550047393, "inner_seconds": 0.16295168199576437}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.24848329400265357, "inner_seconds": 0.16336425299959956}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.24682040799962124, "inner_seconds": 0.1615748740005074}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.24614203199598705, "inner_seconds": 0.16139777899661567}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.24583372199413134, "inner_seconds": 0.16097168299893383}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 0, "seconds": 0.24591062200488523, "inner_seconds": 0.16096730299614137}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 1, "seconds": 0.24785011499625398, "inner_seconds": 0.16270923200499965}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 2, "seconds": 0.24712948300293647, "inner_seconds": 0.16213428400078556}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 3, "seconds": 0.24728353699902073, "inner_seconds": 0.1621402900054818}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 4, "seconds": 0.24548926100396784, "inner_seconds": 0.1607039340015035}
