COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "-u", "src/runner.py", "--index", "0"]
{"layout": "original", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.28592406200186815, "inner_seconds": 0.19891567799641052}
{"layout": "original", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.2432851319972542, "inner_seconds": 0.15797576099430444}
{"layout": "original", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24192133099859348, "inner_seconds": 0.15690792100213002}
{"layout": "original", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24279137399571482, "inner_seconds": 0.15782093300367706}
{"layout": "original", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24325532000511885, "inner_seconds": 0.1579443920054473}
{"layout": "original", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24318323800252983, "inner_seconds": 0.15749957799562253}
{"layout": "original", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.2413532060018042, "inner_seconds": 0.1560756959952414}
{"layout": "original", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24156958499952452, "inner_seconds": 0.15674337100062985}
{"layout": "original", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.24384829700284172, "inner_seconds": 0.1582931489974726}
{"layout": "original", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.6832878889981657, "inner_seconds": 0.5980663360023755}
{"layout": "original", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.24559019699518103, "inner_seconds": 0.15998508100165054}
{"layout": "original", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.24804445100016892, "inner_seconds": 0.16230082800029777}
{"layout": "original", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.24610008899617242, "inner_seconds": 0.16044181100005517}
{"layout": "original", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.24492633400222985, "inner_seconds": 0.15928620300110197}
{"layout": "original", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.24547707400051877, "inner_seconds": 0.1597376819991041}
{"layout": "original", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.2447317900005146, "inner_seconds": 0.15905519599618856}
{"layout": "original", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.244930546003161, "inner_seconds": 0.15941664200363448}
{"layout": "original", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.2503279310039943, "inner_seconds": 0.16470919900166336}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.24756951999734156, "inner_seconds": 0.16186301299603656}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.24572059699858073, "inner_seconds": 0.16027807800128357}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24514213699876564, "inner_seconds": 0.15914742500171997}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24558598799922038, "inner_seconds": 0.15986112900282023}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24543463099689689, "inner_seconds": 0.15971400000125868}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.246665168000618, "inner_seconds": 0.16089416499744402}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.24445838099927641, "inner_seconds": 0.15907026400236646}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24416765999922063, "inner_seconds": 0.15875509000034072}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.24422615300136385, "inner_seconds": 0.15884211999946274}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.24689235700498102, "inner_seconds": 0.16150577500229701}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.2706639210009598, "inner_seconds": 0.16193307799403556}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.30154271900391905, "inner_seconds": 0.19439353400230175}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.2996903649982414, "inner_seconds": 0.19310000500263413}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.2986606210033642, "inner_seconds": 0.19217047300480772}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.2988786960049765, "inner_seconds": 0.19301250699936645}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.3000367679996998, "inner_seconds": 0.19546344300033525}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.2619022569997469, "inner_seconds": 0.16687906999868574}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.3027747200030717, "inner_seconds": 0.19662847399740713}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.2986546879983507, "inner_seconds": 0.192980815001647}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.2959257719994639, "inner_seconds": 0.1909002589964075}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.29645450599491596, "inner_seconds": 0.19144211799721234}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.2840771000046516, "inner_seconds": 0.19046303499635542}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.2469874670059653, "inner_seconds": 0.16195428699575132}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24608600299688987, "inner_seconds": 0.16086574499786366}
