COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "-u", "src/runner.py", "--index", "3"]
{"layout": "original", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.2410639040026581, "inner_seconds": 0.1557853230042383}
{"layout": "original", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24138391499582212, "inner_seconds": 0.15670471100020222}
{"layout": "original", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24061143399740104, "inner_seconds": 0.1553343159976066}
{"layout": "original", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.241519020004489, "inner_seconds": 0.15621676400041906}
{"layout": "original", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.24296496400347678, "inner_seconds": 0.15675482000369811}
{"layout": "original", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.24365246699744603, "inner_seconds": 0.15805891399941174}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 0, "seconds": 0.24265760400157887, "inner_seconds": 0.15680477299611084}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 1, "seconds": 0.24391017900052248, "inner_seconds": 0.1564496969949687}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 2, "seconds": 0.24597090899624163, "inner_seconds": 0.16131338899867842}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 3, "seconds": 0.24160706200200366, "inner_seconds": 0.15631068700167816}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 4, "seconds": 0.2424314419986331, "inner_seconds": 0.15657530800672248}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 5, "seconds": 0.2426258549967315, "inner_seconds": 0.15729224600363523}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 6, "seconds": 0.2419394500029739, "inner_seconds": 0.15654113699565642}
{"layout": "original", "method": "F8", "phase": "repeat8", "i": 7, "seconds": 0.24203301599482074, "inner_seconds": 0.15671750999899814}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 0, "seconds": 0.24621520700020483, "inner_seconds": 0.1608900889987126}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 1, "seconds": 0.24430517900327686, "inner_seconds": 0.1587943060003454}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 2, "seconds": 0.2441066539977328, "inner_seconds": 0.15893650000361959}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 3, "seconds": 0.244729409001593, "inner_seconds": 0.15962601399951382}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 4, "seconds": 0.24554773599811597, "inner_seconds": 0.1600416050059721}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 5, "seconds": 0.2443331489994307, "inner_seconds": 0.15958890799811343}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 6, "seconds": 0.24478823100071168, "inner_seconds": 0.1594713619997492}
{"layout": "original", "method": "F16", "phase": "repeat8", "i": 7, "seconds": 0.24526160799723584, "inner_seconds": 0.16059801000665175}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 0, "seconds": 0.243759229000716, "inner_seconds": 0.15971317900402937}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 1, "seconds": 0.24287893899600022, "inner_seconds": 0.15906805200211238}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 2, "seconds": 0.24167918199964333, "inner_seconds": 0.15692132300318917}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 3, "seconds": 0.24583117900328944, "inner_seconds": 0.16025810199789703}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 4, "seconds": 0.2437495129997842, "inner_seconds": 0.1588388029995258}
