COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "src/runner.py", "--label", "paired_07_a0", "--mode", "paired", "--order", "BA"]
{"seconds": 0.15594224900269182, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15500938399782171, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1544198060000781, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1569921760019497, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15505442800349556, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15507033000176307, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1543653490007273, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15638013200077694, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1550281659947359, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1540707040039706, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 9, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1552010169980349, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 10, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.1565612170015811, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 11, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15597547400102485, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 12, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15496817000530427, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 13, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15599657100392506, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 14, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.15528841599734733, "batches": 108, "input_pointer": 133898122035200, "method": "A", "phase": "repeat16", "iteration": 15, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23346299400145654, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23577929099701578, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2337140560048283, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2343194780041813, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23647891099972185, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23489218000031542, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23565352100558812, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23346371699881274, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 7, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23379191099957097, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 8, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23805617100151721, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 9, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23349197700008517, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 10, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23538656200253172, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 11, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2338465709981392, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 12, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23376674900646321, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 13, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23520248400018318, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 14, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2334674459998496, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "repeat16", "iteration": 15, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"result": "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/frozen_order_screen_20260907/results/paired_07_a0.json", "pass": true}
