COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/precision_routing_20260908_threshold_sweep/src/runner.py", "--phase", "confirm", "--index", "5"]
{"cell": "k256", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 1.0199988349922933}
{"cell": "k256", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.5791466200025752}
{"cell": "k256", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.5434135279938346}
{"cell": "k256", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.5438599970075302}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.538911398005439}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.5480421780084725}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.5583309610083234}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.5401870960049564}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.5413692570000421}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.5449234900006559}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.5499406160088256}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.5440664759953506}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.5434001230023568}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.5478641370136756}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.5475656810012879}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.5449354690063046}
{"cell": "original", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.16732555600174237}
{"cell": "original", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.15913341999112163}
{"cell": "original", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.15725790400756523}
{"cell": "original", "method": "F8", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.15408411600219551}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.1536857629980659}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.1573822350037517}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.15675793599803}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.15408660599496216}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.15645305000361986}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.157718501999625}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.15616446199419443}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.15413911199721042}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.1544394189986633}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.1569123179942835}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.15681133999896701}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.15402772100060247}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.15854697399481665}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.15256920899264514}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.15257509901130106}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.1554436650039861}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.1550044540053932}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.15262734299176373}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.1531532299995888}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.155627086001914}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.15509866899810731}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.15310458700696472}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.1523082290077582}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.1563453309936449}
