COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/precision_routing_20260908_threshold_sweep/src/runner.py", "--phase", "confirm", "--index", "3"]
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.6088066349911969}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.18987140299577732}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.18530661100521684}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.15988814400043339}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.15681174999917857}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.15555703100108076}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.15511846799927298}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.15609962900634855}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.15868034498998895}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.1544943089975277}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.15570680600649212}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.15706854600284714}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.15740980301052332}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.15451220799877774}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.15696956400643103}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.15644171299936716}
{"cell": "k16", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.0817036050138995}
{"cell": "k16", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.07900376999168657}
{"cell": "k16", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.07561821700073779}
{"cell": "k16", "method": "F8", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.07002597799873911}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.06971482399967499}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.07423315700725652}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.07492877100594342}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.07017780101159588}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.06998466199729592}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.07450767599220853}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.07449918299971614}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.06997641400084831}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.07029887501266785}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.07437080700765364}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.07418084400705993}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.07937532999494579}
{"cell": "k4", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.06871615500131156}
{"cell": "k4", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.06071903400879819}
{"cell": "k4", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.060459660991909914}
{"cell": "k4", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.0654954350029584}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.06498018800630234}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.06002702000841964}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.06010194700502325}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.05924004399275873}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.057901590000255965}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.05317463900428265}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.05300303400144912}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.05777662400214467}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.05775599999469705}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.053041174993268214}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.053001780004706234}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.05768845298734959}
{"cell": "k1024", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 2.317652219993761}
{"cell": "k1024", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 2.445908455993049}
{"cell": "k1024", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 2.301398468000116}
