layout,size,cell,threshold,family,blocks,pairs,positive_pairs,oracle_empty_blocks,oracle_full_blocks,oracle_resolved_fraction,rejected_blocks,accepted_blocks,resolved_fraction,resolved_pair_fraction,rejected_pairs,accepted_pairs,empty_block_recall,ordering_seconds,pivot_preprocessing_seconds,metadata_seconds,bound_seconds,false_reject_blocks,false_accept_blocks
original,32,k4,0.26085758209228516,box,1758750,1800030000,178659,1650153,0,0.9382533049040511,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,k4,0.26085758209228516,sphere,1758750,1800030000,178659,1650153,0,0.9382533049040511,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
original,32,k4,0.26085758209228516,pivot,1758750,1800030000,178659,1650153,0,0.9382533049040511,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,k4,0.26085758209228516,combined,1758750,1800030000,178659,1650153,0,0.9382533049040511,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,32,k16,0.32358765602111816,box,1758750,1800030000,538429,1388385,0,0.7894157782515991,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,k16,0.32358765602111816,sphere,1758750,1800030000,538429,1388385,0,0.7894157782515991,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
original,32,k16,0.32358765602111816,pivot,1758750,1800030000,538429,1388385,0,0.7894157782515991,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,k16,0.32358765602111816,combined,1758750,1800030000,538429,1388385,0,0.7894157782515991,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,32,k64,0.39460235834121704,box,1758750,1800030000,1961499,769054,0,0.4372730632551528,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,k64,0.39460235834121704,sphere,1758750,1800030000,1961499,769054,0,0.4372730632551528,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
original,32,k64,0.39460235834121704,pivot,1758750,1800030000,1961499,769054,0,0.4372730632551528,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,k64,0.39460235834121704,combined,1758750,1800030000,1961499,769054,0,0.4372730632551528,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,32,original,0.3955230712890625,box,1758750,1800030000,1993039,759804,0,0.4320136460554371,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,original,0.3955230712890625,sphere,1758750,1800030000,1993039,759804,0,0.4320136460554371,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
original,32,original,0.3955230712890625,pivot,1758750,1800030000,1993039,759804,0,0.4320136460554371,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,original,0.3955230712890625,combined,1758750,1800030000,1993039,759804,0,0.4320136460554371,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,32,k256,0.4787180423736572,box,1758750,1800030000,7744714,112661,0,0.06405742714996446,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,k256,0.4787180423736572,sphere,1758750,1800030000,7744714,112661,0,0.06405742714996446,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
original,32,k256,0.4787180423736572,pivot,1758750,1800030000,7744714,112661,0,0.06405742714996446,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,k256,0.4787180423736572,combined,1758750,1800030000,7744714,112661,0,0.06405742714996446,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,32,k1024,0.5802154541015625,box,1758750,1800030000,30759403,357,0,0.00020298507462686568,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,10.929922551993513,0,0
original,32,k1024,0.5802154541015625,sphere,1758750,1800030000,30759403,357,0,0.00020298507462686568,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,2.40905224699236,0,0
