cell,original_full,layout_full,bbox64,project64,subtile16,packed16,packed_vs_control_speedup,process_ratio_min,process_ratio_max
k4,49.56984300224576,51.78822099696845,45.672879001358524,35.70120099175256,29.920116998255253,27.469392007333227,1.299672048883418,1.2734795195006572,1.3913340562893242
k16,54.55891499877907,54.51196900685318,49.13654600386508,42.490214997087605,43.342438992112875,34.12527000182308,1.245124653806919,1.2367557460112752,1.2469551084154487
k64,58.88866299937945,59.54795300203841,55.35634799161926,50.73930899379775,60.13004899432417,49.47546900075395,1.025544780445124,0.829750279097838,1.025544780445124
original,65.37340999057051,72.55306000297423,65.1602589932736,64.09474900283385,74.54763300484046,58.58988699037582,1.0939558393987392,1.0695045400195977,1.0872889710209708
k256,130.80591699690558,127.55758600542322,123.47015900013503,124.3882790004136,137.33299600426108,123.10088700905908,1.0104580236798764,1.005537415046697,1.0311197950717919
k1024,341.09180100494996,342.98343599948566,344.0017820103094,340.5812220007647,351.84066600049846,343.19173799303826,0.992393418304474,0.9844260219757509,1.003288892117293
