method,family,pca_ms,learned_ms,saving_fraction,saving_ci95,process_savings,passes_5pct_gate
F8,linear,88.49189952484771,93.26276741558104,-0.05391304646357731,"[-0.0640981060331602, -0.04760838885982844]","[-0.04896299667521742, -0.057314151256179224, -0.05547226898657964]",False
F8,mlp,88.49189952484771,92.51377897170542,-0.04544912549570035,"[-0.05206606917105755, -0.038314533059003036]","[-0.043333418617474084, -0.04651718351653744, -0.046497295870864264]",False
F16,linear,82.31300913879143,87.66170688815895,-0.06497998075065925,"[-0.07222150052777221, -0.059005486666248386]","[-0.05999483135656414, -0.06876847801213404, -0.06622935869922064]",False
F16,mlp,82.31300913879143,86.63688874892411,-0.05252972349537122,"[-0.06134933393341353, -0.04521340409149946]","[-0.052723698062972835, -0.047562545154465674, -0.05724145972500083]",False
