family,device,parameters,mean_process_median_ms,process_median_ms,dense_layer_flops,input_rows,features
linear,cpu,33,2.163509668510718,"[2.018710001721047, 2.378928998950869, 2.0928900048602372]",3840000,60000,32
linear,cuda,33,1.7423923369885113,"[1.7779519985197112, 1.7134000081568956, 1.7358250042889267]",3840000,60000,32
mlp,cpu,6337,16.980777009545516,"[16.50944200810045, 17.887599009554833, 16.54529001098126]",744960000,60000,32
mlp,cuda,6337,2.0052473361526304,"[2.006581999012269, 2.0044580014655367, 2.004702007980086]",744960000,60000,32
