block,process,cell,method,output_mode,phase,iteration,position,seconds,output_finalize_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,peak_allocated_bytes,peak_reserved_bytes,output_sha256
primary,0,k4,F32,legacy,retained,1,1,0.13876136500039138,0.006494414003100246,1429272,0,0,469237760,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F32,legacy,retained,2,0,0.13718204900214914,0.006459437994635664,1429272,0,0,469237760,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F32,gpu_radix,retained,2,1,0.1294334069971228,0.0007296730036614463,2378544,1429272,2931967,477888000,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F32,gpu_radix,retained,3,0,0.1293763269932242,0.0006343339919112623,2378544,1429272,2931967,477888000,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F32,legacy,retained,3,1,0.13540995698713232,0.006517923000501469,1429272,0,0,469237760,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k16,F16,gpu_radix,warmup,0,0,0.059552658000029624,0.004396443007863127,8134864,4307432,8815103,627188736,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,legacy,warmup,0,1,0.07760290399892256,0.024118988003465347,4307432,0,0,600830464,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,gpu_radix,retained,0,0,0.05311642099695746,0.001477224999689497,8134864,4307432,8815103,627188736,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,legacy,retained,0,1,0.07425916798820253,0.02065508600207977,4307432,0,0,600830464,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,legacy,retained,1,0,0.0742209359887056,0.02042542799608782,4307432,0,0,600830464,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,gpu_radix,retained,1,1,0.05309530900558457,0.0015081930032465607,8134864,4307432,8815103,627188736,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,gpu_radix,retained,2,0,0.05299693001143169,0.0014090929907979444,8134864,4307432,8815103,627188736,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,legacy,retained,2,1,0.07394108099106234,0.020644371994421817,4307432,0,0,600830464,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,legacy,retained,3,0,0.07441048200416844,0.020692724006948993,4307432,0,0,600830464,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
