family,solver_steps,nfe,selected,parameters,rows,mean_process_median_ms,process_median_ms,dense_layer_flops
direct,0,1,True,5697,384033,6.831437669461593,"[6.719867000356317, 6.644688997766934, 7.129757010261528]",4227435264
fm,2,4,True,5761,384033,11.803712002195729,"[11.956696005654521, 11.61416400282178, 11.840275998110883]",13812898944
fm,4,8,False,5761,384033,19.663707668466184,"[18.518572993343696, 22.467937000328675, 18.00461301172618]",26593517184
fm,8,16,False,5761,384033,33.404127001025095,"[31.521551005425863, 38.32512100052554, 30.365708997123875]",52154753664
