cell,method,configuration,baseline,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,primary
original,F8,random25,pca,-0.18608324163332068,"[-0.23055866854431692, -0.1457522294506939]","[-0.15962714480305729, -0.1967901375912937, -0.20319117673436526]",False,False
original,F8,direct25,pca,-0.3743042272341184,"[-0.40813493742289575, -0.32503836393512214]","[-0.34710208309609714, -0.3951032993662804, -0.38303160861811003]",False,False
original,F8,fm05,pca,-0.4018693740817605,"[-0.44572158799553785, -0.3526332458502821]","[-0.3773541147265691, -0.4361401341906297, -0.3956791176473349]",False,False
original,F8,fm10,pca,-0.431686169556021,"[-0.44940607368731383, -0.3838512712627622]","[-0.4075481694984504, -0.440354394520569, -0.4482913921117704]",False,False
original,F8,fm25,pca,-0.4357200698895869,"[-0.48995134694628906, -0.39791446560604227]","[-0.41745194723297385, -0.47575002514776976, -0.41798756532521186]",False,True
original,F8,fm25,heuristic25,-0.31336022956681875,"[-0.3637863791422806, -0.27267607157586415]","[-0.32806626268921657, -0.343210292675346, -0.27244976652434594]",False,True
original,F8,fm25,direct25,-0.044688680598088615,"[-0.07482444088690506, -0.020727250123638408]","[-0.052223112872922695, -0.05780699236975706, -0.025274879105640302]",False,True
original,F16,all,pca,-0.2384944036734884,"[-0.2864165742184084, -0.2102938509899907]","[-0.23617270652393008, -0.25907069932197846, -0.22237604604777972]",False,False
original,F16,heuristic25,pca,-0.08798327358605063,"[-0.10988388338485602, -0.06855104273423196]","[-0.10402522552146753, -0.09397552972912426, -0.06693350119573016]",False,False
original,F16,random25,pca,-0.18081771438575323,"[-0.19248963489625837, -0.16298364574550894]","[-0.1836392659420567, -0.193348763484829, -0.16685788510909672]",False,False
original,F16,direct25,pca,-0.3609782523939291,"[-0.40118698926816077, -0.3209747520385138]","[-0.3660154162026621, -0.4036186742859591, -0.31794105252520843]",False,False
original,F16,fm05,pca,-0.43033259170630567,"[-0.48162709991881114, -0.3839599769515736]","[-0.46606997303397546, -0.44488671279495673, -0.3823622009910712]",False,False
original,F16,fm10,pca,-0.4062767043758322,"[-0.4467388794366094, -0.3688440049604901]","[-0.40339478972541554, -0.4469567653576787, -0.3727390010235485]",False,False
original,F16,fm25,pca,-0.42576461022813517,"[-0.4714120439992522, -0.37928848022838846]","[-0.43571762470092334, -0.46350721632769587, -0.3822954421167515]",False,True
original,F16,fm25,heuristic25,-0.3104655603102604,"[-0.33750095524167784, -0.286591231384555]","[-0.30043914895403456, -0.3377878906396288, -0.2955778786284149]",False,True
original,F16,fm25,direct25,-0.04760278698079734,"[-0.06259088255281808, -0.033798196207374544]","[-0.051025931092361976, -0.04266724512781428, -0.04882949011129023]",False,True
k256,F8,all,pca,-0.1836142746088314,"[-0.20597418193667597, -0.16530062885047034]","[-0.18943426432056, -0.19250284965365583, -0.16957368594357214]",False,False
k256,F8,heuristic25,pca,-0.07797387803568268,"[-0.09909132246702734, -0.061591449152522015]","[-0.06927224610668259, -0.09985098256132163, -0.0657000881249361]",False,False
k256,F8,random25,pca,-0.11735531445885417,"[-0.1311921627601296, -0.08806441136088192]","[-0.13036177401579652, -0.11176929249192136, -0.11005234884858606]",False,False
k256,F8,direct25,pca,-0.2564570362408771,"[-0.2745961112790727, -0.22636252656033307]","[-0.26753409870188327, -0.24405637966436333, -0.25746763690687824]",False,False
k256,F8,fm05,pca,-0.2967106705403977,"[-0.3143514485705372, -0.2656895564798489]","[-0.29338840089129237, -0.2923190048372635, -0.3040801694484425]",False,False
k256,F8,fm10,pca,-0.3081107072140008,"[-0.32557156779576135, -0.2723180016996357]","[-0.3143952927424958, -0.28968265969936313, -0.31946094473150266]",False,False
k256,F8,fm25,pca,-0.33080101246655347,"[-0.3453759825962539, -0.2960044494106666]","[-0.33113689271386715, -0.3166503740341249, -0.3438619047822604]",False,True
k256,F8,fm25,heuristic25,-0.23453920320553623,"[-0.26296944113578435, -0.18644716257201455]","[-0.2448998817285848, -0.19711705941101498, -0.2610132247870418]",False,True
k256,F8,fm25,direct25,-0.059169533124747264,"[-0.06865100709507173, -0.04133584792408513]","[-0.05017836922661201, -0.05835265632362008, -0.06870496332445963]",False,True
k256,F16,all,pca,-0.2032871752088159,"[-0.22163265657729703, -0.18709746700635188]","[-0.213428093560875, -0.18418155520146784, -0.21133718705121485]",False,False
k256,F16,heuristic25,pca,-0.07526619334303253,"[-0.09380304492719294, -0.0604565872203251]","[-0.09222933654727816, -0.06852256768446763, -0.06522353515885171]",False,False
k256,F16,random25,pca,-0.13771102886160969,"[-0.15043345998873692, -0.12816293808646417]","[-0.14913141035636945, -0.1311339534309781, -0.13284890462051613]",False,False
k256,F16,direct25,pca,-0.319194030219377,"[-0.34350825595910517, -0.28147815355767203]","[-0.3317408252361853, -0.31393590489020906, -0.3120178838518004]",False,False
k256,F16,fm05,pca,-0.34744086518450645,"[-0.3681024536787709, -0.3237909440912179]","[-0.3516828471087803, -0.33969450088691255, -0.3505792539975343]",False,False
k256,F16,fm10,pca,-0.35426614356219766,"[-0.3713657628429346, -0.33905931100235387]","[-0.35335703577842303, -0.3535809495898714, -0.355780118549623]",False,False
k256,F16,fm25,pca,-0.35850743890041326,"[-0.3717761564193227, -0.35173047372065247]","[-0.3575042769310939, -0.35997938207895697, -0.35810084316062785]",False,True
k256,F16,fm25,heuristic25,-0.2634150011512739,"[-0.28620842409734437, -0.24527760273458749]","[-0.2428747622018601, -0.2727661756607429, -0.2749444584493719]",False,True
k256,F16,fm25,direct25,-0.02980108140308868,"[-0.06383056710937596, -0.011859939247627072]","[-0.019345694903014854, -0.035042407333099934, -0.035123728019268885]",False,True
k1024,F8,all,pca,-0.08984179209853682,"[-0.10235572839582607, -0.07870774974406736]","[-0.07926802722281989, -0.10231551001646366, -0.08880598465706835]",False,False
k1024,F8,heuristic25,pca,-0.03427208083805411,"[-0.04465482403892824, -0.017959788120811743]","[-0.029465265633451976, -0.04332243479415898, -0.03061471915180225]",False,False
k1024,F8,random25,pca,-0.06533023316267683,"[-0.07379549098154303, -0.04573734932468948]","[-0.05527434531871145, -0.07656269413201544, -0.06493942507406314]",False,False
k1024,F8,direct25,pca,-0.1365856602976263,"[-0.15594478004825074, -0.11686376706020307]","[-0.14773259375234393, -0.13711883401413472, -0.12477728442932357]",False,False
k1024,F8,fm05,pca,-0.14673774246079385,"[-0.16241555982717748, -0.12086619277448651]","[-0.1353004608398427, -0.16391344142366115, -0.1421447400842557]",False,False
k1024,F8,fm10,pca,-0.1495776982581143,"[-0.16812265880337596, -0.13449691954233245]","[-0.13707714084655565, -0.16516265087786008, -0.147562866104622]",False,False
k1024,F8,fm25,pca,-0.1683247679102744,"[-0.18775772159922788, -0.15042773613505656]","[-0.15015045399493077, -0.1933968667644428, -0.16312005719891265]",False,True
