process,repeat,cell,method,configuration,seconds,executed_tiles,output_count,output_sha256,tile_mask_sha256
0,2,k4,F16,heuristic25,0.05698851399938576,304566,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,39eedb99886774bffd7555f8a55a8934c140d35be126b1ad7e168fe0894df53a
0,2,k4,F16,random25,0.06129631100338884,329567,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,2da4017006bf343ecbf9507baed621834b9ed6ef00284b02d2bed57f7e117ba3
0,2,k4,F16,direct25,0.07127986900741234,300746,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,f522ead268eb28dd58428bea5ff5da50944685b793b961cf3b0597c6d7b8a1c1
0,2,k4,F16,fm05,0.07276162999914959,334098,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,ffb0f71a72e5712e28b4a00a5d484ff369a43713c863fd934dec0d169dfb3f44
0,2,k4,F16,fm10,0.07369809500232805,318543,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,356369a848eac22197f9c06973eb2a9eaf142a08806ab13e1188512db471d759
0,2,k4,F16,fm25,0.07704982199356891,290730,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,a2dc13b58ceefe6e9e1e6d787071e7ab5f8503f9cd5de56d85c33a323dc02c4e
0,2,k4,F16,pca,0.05296811100561172,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,210a2aa7744c59100c7fd3f32ef44b140f398605091aaefd0a62d615f09f7571
0,2,k4,F16,all,0.06017872699885629,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
0,3,k4,F16,heuristic25,0.05217308299324941,304566,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,39eedb99886774bffd7555f8a55a8934c140d35be126b1ad7e168fe0894df53a
0,3,k4,F16,all,0.0594473039964214,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
0,3,k4,F16,pca,0.04707528100698255,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,210a2aa7744c59100c7fd3f32ef44b140f398605091aaefd0a62d615f09f7571
0,3,k4,F16,fm25,0.07794333399215247,290730,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,a2dc13b58ceefe6e9e1e6d787071e7ab5f8503f9cd5de56d85c33a323dc02c4e
0,3,k4,F16,fm10,0.07477696299611125,318543,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,356369a848eac22197f9c06973eb2a9eaf142a08806ab13e1188512db471d759
0,3,k4,F16,fm05,0.07371211500139907,334098,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,ffb0f71a72e5712e28b4a00a5d484ff369a43713c863fd934dec0d169dfb3f44
0,3,k4,F16,direct25,0.07075564000115264,300746,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,f522ead268eb28dd58428bea5ff5da50944685b793b961cf3b0597c6d7b8a1c1
0,3,k4,F16,random25,0.058067246005521156,329567,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,2da4017006bf343ecbf9507baed621834b9ed6ef00284b02d2bed57f7e117ba3
0,3,k4,F8,heuristic25,0.050796799987438135,304566,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,39eedb99886774bffd7555f8a55a8934c140d35be126b1ad7e168fe0894df53a
0,3,k4,F8,all,0.05756093899253756,278031,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,5e8e028d40f9940f3087d6e5d4e31a33ec21f208d77c91150fd7409840daca9c
0,3,k4,F8,pca,0.050694774006842636,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,210a2aa7744c59100c7fd3f32ef44b140f398605091aaefd0a62d615f09f7571
0,3,k4,F8,fm25,0.07445596500474494,290730,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,a2dc13b58ceefe6e9e1e6d787071e7ab5f8503f9cd5de56d85c33a323dc02c4e
0,3,k4,F8,fm10,0.07027250400278717,318543,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,356369a848eac22197f9c06973eb2a9eaf142a08806ab13e1188512db471d759
0,3,k4,F8,fm05,0.06977209700562526,334098,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,ffb0f71a72e5712e28b4a00a5d484ff369a43713c863fd934dec0d169dfb3f44
0,3,k4,F8,direct25,0.06623902800492942,300746,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,f522ead268eb28dd58428bea5ff5da50944685b793b961cf3b0597c6d7b8a1c1
0,3,k4,F8,random25,0.056230218993732706,329567,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a,2da4017006bf343ecbf9507baed621834b9ed6ef00284b02d2bed57f7e117ba3
0,0,k16,F16,all,0.0667002109985333,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,0,k16,F16,heuristic25,0.05648258999281097,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,0,k16,F16,random25,0.0635450460104039,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,0,k16,F16,direct25,0.08074814299470745,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,0,k16,F16,fm05,0.07943693600827828,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,0,k16,F16,fm10,0.07792580999375787,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,0,k16,F16,fm25,0.0856714700057637,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,0,k16,F16,pca,0.055726525009959005,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,0,k16,F8,all,0.06690189999062568,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,0,k16,F8,heuristic25,0.06029977899743244,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,0,k16,F8,random25,0.06287302500277292,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,0,k16,F8,direct25,0.07399529599933885,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,0,k16,F8,fm05,0.07574917300371453,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,0,k16,F8,fm10,0.07519883300119545,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,0,k16,F8,fm25,0.08537282500765286,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,0,k16,F8,pca,0.05227801400178578,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,1,k16,F8,all,0.0637169969995739,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,1,k16,F8,pca,0.04899837299308274,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,1,k16,F8,fm25,0.07665288999851327,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,1,k16,F8,fm10,0.08061085098597687,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,1,k16,F8,fm05,0.07737461100623477,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,1,k16,F8,direct25,0.0737812320003286,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,1,k16,F8,random25,0.06185270599962678,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,1,k16,F8,heuristic25,0.05567789099586662,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,1,k16,F16,all,0.06550653200247325,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,1,k16,F16,pca,0.05684357300924603,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,1,k16,F16,fm25,0.09568773199862335,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,1,k16,F16,fm10,0.08202850999077782,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,1,k16,F16,fm05,0.07852396099769976,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,1,k16,F16,direct25,0.0849247669975739,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,1,k16,F16,random25,0.06510498900024686,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
