process,method_order,inner_seconds,seconds,hash,count,layout,method,phase,iteration
0,8_16,0.19301250699936645,0.2988786960049765,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,3
0,8_16,0.19546344300033525,0.3000367679996998,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,4
0,8_16,0.16687906999868574,0.2619022569997469,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,5
0,8_16,0.19662847399740713,0.3027747200030717,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,6
0,8_16,0.192980815001647,0.2986546879983507,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,warmup,0
0,8_16,0.1909002589964075,0.2959257719994639,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,warmup,1
0,8_16,0.19144211799721234,0.29645450599491596,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,0
0,8_16,0.19046303499635542,0.2840771000046516,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,1
0,8_16,0.16195428699575132,0.2469874670059653,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,2
0,8_16,0.16086574499786366,0.24608600299688987,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,3
0,8_16,0.16043138099485077,0.24569988500297768,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,4
0,8_16,0.1601260440002079,0.24527394600590924,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,5
0,8_16,0.15995111299707787,0.24507590899884235,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,retained,6
0,8_16,0.16281625800183974,0.24771693400543882,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,warmup,0
0,8_16,0.16249315400636988,0.24797656299779192,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,warmup,1
0,8_16,0.16374524000275414,0.24880960299924482,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,0
0,8_16,0.16257195900107035,0.2482585760008078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,1
0,8_16,0.1627780599956168,0.24798233700130368,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,2
0,8_16,0.16270184599852655,0.24823511900467565,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,3
0,8_16,0.16319622300215997,0.2482692319972557,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,4
0,8_16,0.1627474600027199,0.2477558839964331,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,5
0,8_16,0.1648173779976787,0.25026603099831846,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,6
0,8_16,0.1671874759995262,0.25257142900227336,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,0
0,8_16,0.16252626100322232,0.24770092399558052,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,1
0,8_16,0.19544307800242677,0.300532913999632,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,2
0,8_16,0.19323841499863192,0.2979865710003651,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,3
0,8_16,0.194468608002353,0.29939061000186484,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,4
0,8_16,0.16243924899754347,0.24685520699858898,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,5
0,8_16,0.16263077299663564,0.24831835000077263,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,6
0,8_16,0.16418761499517132,0.24899670900049387,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,repeat8,7
0,8_16,0.1596771800032002,0.24594049599545542,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,0
0,8_16,0.16035887399630155,0.24518218600132968,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,1
0,8_16,0.15961838599469047,0.24469686999509577,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,2
0,8_16,0.15958563900494482,0.24429387800046243,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,3
0,8_16,0.1601322930000606,0.24575063699739985,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,4
0,8_16,0.15915339600178413,0.24337983700388577,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,5
0,8_16,0.15935021200129995,0.24453301099856617,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,6
0,8_16,0.15968751499895006,0.24418241000239505,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,repeat8,7
0,8_16,0.1629356560006272,0.24903149400051916,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,0
0,8_16,0.1621435350025422,0.24698739599989494,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,1
0,8_16,0.16244028399523813,0.24845463700330583,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,2
0,8_16,0.16210045200568857,0.2464648179957294,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,3
0,8_16,0.16184292300022207,0.24862731900066137,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,4
0,8_16,0.1619315350035322,0.24779087900242303,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,5
0,8_16,0.1615864710038295,0.24642918899917277,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,6
0,8_16,0.1618084980000276,0.24684441099816468,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,repeat8,7
0,8_16,0.1586190620000707,0.24354941899946425,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,0
0,8_16,0.15859274700051174,0.24477831600233912,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,1
0,8_16,0.1631075020050048,0.24809571300284006,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,2
0,8_16,0.1597484509984497,0.24576461799733806,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,3
0,8_16,0.1592527640023036,0.24498277399834478,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,4
0,8_16,0.15989568200166104,0.24505889400461456,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,5
0,8_16,0.1597453520007548,0.24471776599966688,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,6
0,8_16,0.1593314490019111,0.24462740300077712,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,repeat8,7
0,8_16,0.1605081829984556,0.24671867299912265,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,0
0,8_16,0.15876969799865037,0.24388865099899704,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,1
0,8_16,0.15925893199892016,0.24432208699727198,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,2
0,8_16,0.15882519400474848,0.24366311399353435,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,3
0,8_16,0.15935660299874144,0.24492546699912054,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,4
0,8_16,0.1594473340010154,0.24489148399879923,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,5
0,8_16,0.15926798199507175,0.24469935299566714,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,6
