family,cell,method,build_plus_query_seconds_mean,build_seconds_mean,training_included
pca,k4,F8,0.5228628179902444,0.4786795349937165,False
pca,k4,F16,0.5120422986656195,0.46572814566995174,False
pca,original,F8,0.5242085470041881,0.46410050567161915,False
pca,original,F16,0.5271633400067609,0.4671763486743051,False
pca,k1024,F8,0.6691836653286979,0.4660949899989646,False
pca,k1024,F16,0.6354289483327497,0.4663605733367149,False
direct,k4,F8,0.5664279336633626,0.5186609043351685,False
direct,k4,F16,0.5257679960050154,0.4763705693379355,False
direct,original,F8,0.5403651376691414,0.47882385866735905,False
direct,original,F16,0.5439484373346204,0.4783218430093257,False
direct,k1024,F8,0.6799885933335948,0.47568302567136317,False
direct,k1024,F16,0.6871158723370172,0.5178359756731273,False
fm,k4,F8,0.585476360337149,0.5384765350075517,False
fm,k4,F16,0.5339271096696999,0.4843607229995541,False
fm,original,F8,0.5455378863310519,0.48420414299956366,False
fm,original,F16,0.5479876133370757,0.48455961800452013,False
fm,k1024,F8,0.6864355953293853,0.48333789766184054,False
fm,k1024,F16,0.6598360289984461,0.48873194633536815,False
