family,solver_steps,nfe,selected,parameters,mean_process_median_ms,process_median_ms,dense_layer_flops,input_rows,features,device
direct,0,1,True,24864,4.292534664273262,"[4.2930359923047945, 4.220789996907115, 4.363778003607877]",2949120000,60000,32,cuda
fm,8,16,True,24992,11.423208998166956,"[11.414897002396174, 11.246003996348009, 11.608725995756686]",47431680000,60000,32,cuda
fm,16,32,False,24992,18.92504766874481,"[18.798044009599835, 18.788008004776202, 19.189090991858393]",94863360000,60000,32,cuda
fm,32,64,False,24992,33.896272672185056,"[33.7567030073842, 33.863486009067856, 34.0686290001031]",189726720000,60000,32,cuda
