method,baseline,baseline_ms,fm_ms,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,selected_cost_break_even_queries,all_seed_cost_break_even_queries
F8,pca,85.75987424976321,87.44495594388961,-0.019648835878873117,"[-0.030406854233478414, -0.013643143205666394]","[-0.016188985019679247, -0.024768116569122922, -0.01819013322946561]",False,,
F8,direct,87.7798583060212,87.44495594388961,0.0038152529360897525,"[-0.0021382262420574782, 0.009440489179232459]","[0.0013207292905683676, 0.006124010767551424, 0.004050737925881953]",False,0,7134
F16,pca,79.42243433394145,81.19989508365204,-0.02237983215469108,"[-0.032836277869088715, -0.016119146092832066]","[-0.02495001973640565, -0.01851001786021733, -0.023521985710469373]",False,,
F16,direct,81.85872941733881,81.19989508365204,0.00804843097829977,"[-0.0019449843184515814, 0.016112611305423748]","[-9.358153600214081e-05, 0.018759236846009886, 0.005783084656697524]",False,0,3627
