family,seed,updates,rule,solver_steps,nfe,validation_pruning,gaussian_sliced_w2_squared_normalized,selected,checkpoint_sha256
fm,2026090832,2000,balanced,8,16,0.0,0.0028305074857889103,False,47354655297b53a479d2f3c9cfd0e6ab919d650c7a6a0fff3c57bdfc35a2d76a
fm,2026090832,2000,first,16,32,0.05305496117054961,0.002835441010104303,False,47354655297b53a479d2f3c9cfd0e6ab919d650c7a6a0fff3c57bdfc35a2d76a
fm,2026090832,2000,balanced,16,32,0.0,0.002835441010104303,False,47354655297b53a479d2f3c9cfd0e6ab919d650c7a6a0fff3c57bdfc35a2d76a
fm,2026090832,2000,first,32,64,0.05304130920241309,0.0028367201074753303,False,47354655297b53a479d2f3c9cfd0e6ab919d650c7a6a0fff3c57bdfc35a2d76a
fm,2026090832,2000,balanced,32,64,0.0,0.0028367201074753303,False,47354655297b53a479d2f3c9cfd0e6ab919d650c7a6a0fff3c57bdfc35a2d76a
direct,2026090832,4000,first,0,1,0.06783662967036631,0.31933451555237874,True,7a4dc5ae0dad9ea52de3c364679e9bc6f87cac55be02be22778a3c7bee25f137
direct,2026090832,4000,balanced,0,1,0.0,0.31933451555237874,False,7a4dc5ae0dad9ea52de3c364679e9bc6f87cac55be02be22778a3c7bee25f137
fm,2026090832,4000,first,8,16,0.04310267639902676,0.0028521977088480977,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
fm,2026090832,4000,balanced,8,16,0.0,0.0028521977088480977,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
fm,2026090832,4000,first,16,32,0.04317093623970936,0.0028360573718227266,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
fm,2026090832,4000,balanced,16,32,0.0,0.0028360573718227266,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
fm,2026090832,4000,first,32,64,0.04294909175749092,0.002832141103872493,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
fm,2026090832,4000,balanced,32,64,0.0,0.002832141103872493,False,dc5da72b14c34f3762ee93c5a12094c42e500eabb293e7f82948500e1b70561e
direct,2026090833,1000,first,0,1,0.045877438922774384,0.31078283626080583,False,220be0c30579e96f38bf813db4ff246257d54376cb37e0c754584dbcfd986e22
direct,2026090833,1000,balanced,0,1,0.0,0.31078283626080583,False,220be0c30579e96f38bf813db4ff246257d54376cb37e0c754584dbcfd986e22
fm,2026090833,1000,first,8,16,0.0510003399660034,0.006042459454910561,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
fm,2026090833,1000,balanced,8,16,0.0,0.006042459454910561,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
fm,2026090833,1000,first,16,32,0.05104812185448123,0.006065899297412007,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
fm,2026090833,1000,balanced,16,32,0.0,0.006065899297412007,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
fm,2026090833,1000,first,32,64,0.05105153484651536,0.006072324667554721,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
fm,2026090833,1000,balanced,32,64,0.0,0.006072324667554721,False,203f4ed56c2d3f4609d8d97a992e551353cbbf84a03bd3aeffa689ea5309211d
direct,2026090833,2000,first,0,1,0.05809253741292539,0.31585942008077095,False,2b8b466775951ea760e00bb7e794fe9d76c20d4e724d371b8c89a8be86fef6ae
direct,2026090833,2000,balanced,0,1,0.0,0.31585942008077095,False,2b8b466775951ea760e00bb7e794fe9d76c20d4e724d371b8c89a8be86fef6ae
fm,2026090833,2000,first,8,16,0.03791492850714928,0.0021479522667381882,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
fm,2026090833,2000,balanced,8,16,0.0,0.0021479522667381882,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
fm,2026090833,2000,first,16,32,0.03785008165850082,0.002153394646915267,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
fm,2026090833,2000,balanced,16,32,0.0,0.002153394646915267,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
fm,2026090833,2000,first,32,64,0.03774086591340866,0.0021548057599893957,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
fm,2026090833,2000,balanced,32,64,0.0,0.0021548057599893957,False,06dc192a25f93c66ad86a202ed55b139239e3042069cbdc6b9771284715c1cfa
direct,2026090833,4000,first,0,1,0.05771710828917107,0.3208867279286035,False,85b9257da0e29770046a651dd3fe9a149e90869ca7af0f717bb21da26e09e400
direct,2026090833,4000,balanced,0,1,0.0,0.3208867279286035,False,85b9257da0e29770046a651dd3fe9a149e90869ca7af0f717bb21da26e09e400
fm,2026090833,4000,first,8,16,0.038129947005299474,0.002139916903058266,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
fm,2026090833,4000,balanced,8,16,0.0,0.002139916903058266,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
fm,2026090833,4000,first,16,32,0.03774086591340866,0.002141539439846219,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
fm,2026090833,4000,balanced,16,32,0.0,0.002141539439846219,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
fm,2026090833,4000,first,32,64,0.037795473785954735,0.0021420099769312168,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
fm,2026090833,4000,balanced,32,64,0.0,0.0021420099769312168,False,393c25b116ed6dfe43fc0e01a63fcfe5b8c029dc689d5ab7553b92f2e333f69f
