layout,kind,cell,size,total_pairs,candidate_pairs,true_pairs,false_candidates,candidate_pair_fraction,false_candidate_share,total_tiles,occupied_tiles,rejected_tile_fraction,oracle_empty_tiles,empty_tile_recall,occupied_pair_capacity,occupied_capacity_fraction,work_amplification,information_limited
original,r16,k64,16,1800030000,432716178,1961499,430754679,0.24039387010216495,0.9954670079379375,7033125,7033125,0.0,5574024,0.0,1800030000,1.0,4.1598398477257765,False
original,r16,k64,32,1800030000,432716178,1961499,430754679,0.24039387010216495,0.9954670079379375,1758750,1758750,0.0,769054,0.0,1800030000,1.0,4.1598398477257765,False
original,r16,k64,64,1800030000,432716178,1961499,430754679,0.24039387010216495,0.9954670079379375,440391,440391,0.0,30246,0.0,1800030000,1.0,4.1598398477257765,False
original,r16,k64,256,1800030000,432716178,1961499,430754679,0.24039387010216495,0.9954670079379375,27730,27730,0.0,0,,1800030000,1.0,4.1598398477257765,False
original,r16,original,16,1800030000,435256377,1993039,433263338,0.24180506824886253,0.9954209998857754,7033125,7033125,0.0,5554182,0.0,1800030000,1.0,4.135562613480101,False
original,r16,original,32,1800030000,435256377,1993039,433263338,0.24180506824886253,0.9954209998857754,1758750,1758750,0.0,759804,0.0,1800030000,1.0,4.135562613480101,False
original,r16,original,64,1800030000,435256377,1993039,433263338,0.24180506824886253,0.9954209998857754,440391,440391,0.0,29176,0.0,1800030000,1.0,4.135562613480101,False
original,r16,original,256,1800030000,435256377,1993039,433263338,0.24180506824886253,0.9954209998857754,27730,27730,0.0,0,,1800030000,1.0,4.135562613480101,False
original,r16,k256,16,1800030000,670115856,7744714,662371142,0.37228038199363345,0.9884427238504262,7033125,7033125,0.0,3085093,0.0,1800030000,1.0,2.6861474532845557,False
original,r16,k256,32,1800030000,670115856,7744714,662371142,0.37228038199363345,0.9884427238504262,1758750,1758750,0.0,112661,0.0,1800030000,1.0,2.6861474532845557,False
original,r16,k256,64,1800030000,670115856,7744714,662371142,0.37228038199363345,0.9884427238504262,440391,440391,0.0,133,0.0,1800030000,1.0,2.6861474532845557,False
original,r16,k256,256,1800030000,670115856,7744714,662371142,0.37228038199363345,0.9884427238504262,27730,27730,0.0,0,,1800030000,1.0,2.6861474532845557,False
original,r16,k1024,16,1800030000,942102371,30759403,911342968,0.523381483086393,0.9673502541264701,7033125,7033125,0.0,465004,0.0,1800030000,1.0,1.910652234203962,True
original,r16,k1024,32,1800030000,942102371,30759403,911342968,0.523381483086393,0.9673502541264701,1758750,1758750,0.0,357,0.0,1800030000,1.0,1.910652234203962,True
original,r16,k1024,64,1800030000,942102371,30759403,911342968,0.523381483086393,0.9673502541264701,440391,440391,0.0,0,,1800030000,1.0,1.910652234203962,True
