family,device,parameters,mean_process_median_ms,process_median_ms,dense_layer_flops,input_rows,features
proxy,cpu,6337,16.84189066872932,"[16.42559799074661, 17.194216008647345, 16.905858006794006]",744960000,60000,32
proxy,cuda,6337,2.0641440011483305,"[2.0604580058716238, 2.1082109888084233, 2.023763008764945]",744960000,60000,32
direct,cpu,6337,16.467609665899847,"[16.155264995177276, 16.6302080033347, 16.617355999187566]",744960000,60000,32
direct,cuda,6337,2.0630603345731893,"[2.0715069986181334, 2.093967006658204, 2.023706998443231]",744960000,60000,32
