method,family,pca_ms,learned_ms,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,reference_ms
F8,proxy,85.68059058395899,89.8359151667844,-0.048497851783054546,"[-0.05747876688127266, -0.04293504490317105]","[-0.04791634087863139, -0.052743908162658615, -0.04484668513032397]",False,
F8,direct,85.68059058395899,85.30082477833882,0.004432343463459665,"[-0.00427016939382216, 0.013294387829943901]","[0.0034088933667191235, -0.0020251921450511468, 0.011877430434835912]",False,
F8,direct_vs_proxy,,85.30082477833882,0.05048193008359725,"[0.047129359510023505, 0.0564450292337382]","[0.04897836997399674, 0.04817763904815764, 0.054289415253382156]",,89.8359151667844
F16,proxy,78.85487777659566,83.5415746668231,-0.059434457605848534,"[-0.07170141862790969, -0.04945609190511626]","[-0.04928253695930529, -0.06801546236504641, -0.0608792529579576]",False,
F16,direct,78.85487777659566,78.26204219317233,0.0075180584909774195,"[-0.002551836290945619, 0.015540409207596636]","[0.015698521823630185, 0.001710267490751316, 0.005254293299089885]",False,
F16,direct_vs_proxy,,78.26204219317233,0.06319646828188674,"[0.05796952814340737, 0.06794720674622644]","[0.0619290386469622, 0.0652853187175726, 0.06233842925352073]",,83.5415746668231
