process,repeat,cell,method,configuration,seconds,executed_tiles,output_count,output_sha256
0,3,k4,F8,pca_geo,0.04475885799911339,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,original_full,0.04804562400386203,440391,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,direct_full,0.04911929300578777,440391,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,direct_geo,0.04326625099929515,346802,297318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k16,F16,pca_geo,0.05125099599536043,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,proxy_geo,0.05664109200006351,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,direct_geo,0.05082718000630848,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,direct_full,0.05564057901210617,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,original_full,0.055975650990149006,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,pca_geo,0.0486370069993427,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,proxy_geo,0.053885524001088925,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,direct_geo,0.04824054799973965,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,direct_full,0.0525929069990525,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,original_full,0.05104823599685915,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,pca_geo,0.04861361999064684,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,original_full,0.05075855700124521,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,direct_full,0.0525593049969757,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,direct_geo,0.04813468000793364,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,proxy_geo,0.053633763003745116,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,pca_geo,0.05106429300212767,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,original_full,0.055670254994765855,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,direct_full,0.05552002899639774,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,direct_geo,0.0503144690010231,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,proxy_geo,0.05659500800538808,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,direct_geo,0.0503122319933027,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,direct_full,0.0552083410002524,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,original_full,0.05582299700472504,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,pca_geo,0.05109444499248639,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,proxy_geo,0.056517655990319327,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,direct_geo,0.04794543399475515,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,direct_full,0.05625155499728862,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,original_full,0.051804777001962066,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,pca_geo,0.04948256599891465,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,proxy_geo,0.05446642999595497,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,direct_geo,0.04863584699342027,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,proxy_geo,0.053597165999235585,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,pca_geo,0.048788838990731165,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,original_full,0.050934013997903094,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,direct_full,0.05218163201061543,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,direct_geo,0.05022390800877474,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,proxy_geo,0.05651876599586103,439459,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,pca_geo,0.051196577987866476,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,original_full,0.05553388100815937,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,direct_full,0.05490113398991525,440391,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k64,F8,proxy_geo,0.06570343200291973,439984,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,direct_geo,0.06228666899551172,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,direct_full,0.06619751099788118,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,original_full,0.06366563399205916,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,pca_geo,0.06282142800046131,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,proxy_geo,0.06736677400476765,439984,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,direct_geo,0.06400551000842825,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,direct_full,0.06667699199169874,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,original_full,0.06561502299155109,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,pca_geo,0.06378474700613879,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,proxy_geo,0.06743771700712387,439984,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,pca_geo,0.0628831439971691,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,original_full,0.06546116599929519,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,direct_full,0.06569110699638259,440391,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,direct_geo,0.06273350800620392,384759,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F8,proxy_geo,0.0659721630072454,439984,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
