family,cell,method,build_plus_query_seconds_mean,build_seconds_mean,training_included
pca,k4,F8,0.5353752429994832,0.49083092899430386,False
pca,k4,F16,0.5152624156665601,0.4688816303338778,False
pca,original,F8,0.523825698667982,0.4638342800026294,False
pca,original,F16,0.5244749323367918,0.46406535533606075,False
pca,k1024,F8,0.6679858860006789,0.4652103879925562,False
pca,k1024,F16,0.6320824363307717,0.46321860332682263,False
proxy,k4,F8,0.5701469279980907,0.5189457076679295,False
proxy,k4,F16,0.5271691736706998,0.4737341846727456,False
proxy,original,F8,0.5333318103318258,0.4688568119988001,False
proxy,original,F16,0.5331177076683767,0.4682301489956444,False
proxy,k1024,F8,0.6753110066638328,0.4688847319969985,False
proxy,k1024,F16,0.7046405870011464,0.5323030843331557,False
direct,k4,F8,0.5724918683311747,0.527689186662125,False
direct,k4,F16,0.5190540373296244,0.4726421196586064,False
direct,original,F8,0.5298765250045108,0.46985491533511475,False
direct,original,F16,0.5294147483364213,0.46904959466579993,False
direct,k1024,F8,0.6744014006690122,0.47168780566911056,False
direct,k1024,F16,0.6592661266671106,0.49167400333681144,False
