dataset,layout,cell,threshold,bound,tiles,pruned_tiles,pruned_tile_fraction,pruned_pairs,pruned_pair_fraction,ideal_empty_tiles,ideal_empty_tile_fraction,ideal_empty_pair_fraction,reference_entries,reference_occupancy_check
cifar60000,pca_sort,k64,0.39460235834121704,ball,440391,0,0.0,0,0.0,348510,0.7913649461501256,0.7919757070715489,3862998,True
cifar60000,pca_sort,k64,0.39460235834121704,aabb,440391,0,0.0,0,0.0,348510,0.7913649461501256,0.7919757070715489,3862998,True
cifar60000,pca_sort,k64,0.39460235834121704,pivots,440391,0,0.0,0,0.0,348510,0.7913649461501256,0.7919757070715489,3862998,True
cifar60000,pca_sort,k64,0.39460235834121704,pca32,440391,55632,0.12632410744088776,226842624,0.12602157964033933,348510,0.7913649461501256,0.7919757070715489,3862998,True
cifar60000,pca_sort,k64,0.39460235834121704,combined,440391,55632,0.12632410744088776,226842624,0.12602157964033933,348510,0.7913649461501256,0.7919757070715489,3862998,True
cifar60000,pca_sort,original,0.3955230712890625,ball,440391,0,0.0,0,0.0,347531,0.7891419216105688,0.7897479753115226,3926078,True
cifar60000,pca_sort,original,0.3955230712890625,aabb,440391,0,0.0,0,0.0,347531,0.7891419216105688,0.7897479753115226,3926078,True
cifar60000,pca_sort,original,0.3955230712890625,pivots,440391,0,0.0,0,0.0,347531,0.7891419216105688,0.7897479753115226,3926078,True
cifar60000,pca_sort,original,0.3955230712890625,pca32,440391,55420,0.12584271704008484,225976320,0.12554030766153898,347531,0.7891419216105688,0.7897479753115226,3926078,True
cifar60000,pca_sort,original,0.3955230712890625,combined,440391,55420,0.12584271704008484,225976320,0.12554030766153898,347531,0.7891419216105688,0.7897479753115226,3926078,True
cifar60000,pca_sort,k256,0.4787180423736572,ball,440391,0,0.0,0,0.0,243235,0.5523160100910327,0.5524205885457465,15429428,True
cifar60000,pca_sort,k256,0.4787180423736572,aabb,440391,0,0.0,0,0.0,243235,0.5523160100910327,0.5524205885457465,15429428,True
cifar60000,pca_sort,k256,0.4787180423736572,pivots,440391,0,0.0,0,0.0,243235,0.5523160100910327,0.5524205885457465,15429428,True
cifar60000,pca_sort,k256,0.4787180423736572,pca32,440391,40320,0.09155500453006533,164290560,0.0912710121497975,243235,0.5523160100910327,0.5524205885457465,15429428,True
cifar60000,pca_sort,k256,0.4787180423736572,combined,440391,40320,0.09155500453006533,164290560,0.0912710121497975,243235,0.5523160100910327,0.5524205885457465,15429428,True
cifar60000,pca_sort,k1024,0.5802154541015625,ball,440391,0,0.0,0,0.0,141547,0.32141210878514775,0.3210277517596929,61458806,True
cifar60000,pca_sort,k1024,0.5802154541015625,aabb,440391,0,0.0,0,0.0,141547,0.32141210878514775,0.3210277517596929,61458806,True
cifar60000,pca_sort,k1024,0.5802154541015625,pivots,440391,0,0.0,0,0.0,141547,0.32141210878514775,0.3210277517596929,61458806,True
cifar60000,pca_sort,k1024,0.5802154541015625,pca32,440391,27235,0.06184277153711134,110860288,0.06158802242184853,141547,0.32141210878514775,0.3210277517596929,61458806,True
cifar60000,pca_sort,k1024,0.5802154541015625,combined,440391,27235,0.06184277153711134,110860288,0.06158802242184853,141547,0.32141210878514775,0.3210277517596929,61458806,True
cifar60000,balanced_axis,k4,0.26085758209228516,ball,440391,0,0.0,0,0.0,423937,0.9626377469112675,0.9636100376104842,297318,True
cifar60000,balanced_axis,k4,0.26085758209228516,aabb,440391,0,0.0,0,0.0,423937,0.9626377469112675,0.9636100376104842,297318,True
cifar60000,balanced_axis,k4,0.26085758209228516,pivots,440391,0,0.0,0,0.0,423937,0.9626377469112675,0.9636100376104842,297318,True
cifar60000,balanced_axis,k4,0.26085758209228516,pca32,440391,0,0.0,0,0.0,423937,0.9626377469112675,0.9636100376104842,297318,True
cifar60000,balanced_axis,k4,0.26085758209228516,combined,440391,0,0.0,0,0.0,423937,0.9626377469112675,0.9636100376104842,297318,True
