process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
0,2,k16,F16,original_full,0.06527020399516914,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F16,layout_full,0.0605219339922769,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,geometric,0.051747485995292664,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,original_full,0.05396820999158081,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,2,k16,F8,layout_full,0.05594445099995937,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,geometric,0.05086425600165967,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,layout_full,0.05562655899848323,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F8,original_full,0.054701418994227424,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,geometric,0.05299262200423982,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,layout_full,0.05852277200028766,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,3,k16,F16,original_full,0.05874075900646858,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k64,F8,original_full,0.07086325300042517,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,layout_full,0.07190719600475859,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F8,geometric,0.06806153499928769,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,original_full,0.07255361799616367,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,layout_full,0.07257556999684311,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,k64,F16,geometric,0.06867957800568547,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,original_full,0.07257618001312949,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F16,geometric,0.06820758200774435,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
